name,faction,parent,branch,gen
CONTROLBAR:PurchaseTechnologyGondorFireArrows,men,CONTROLBAR:ConstructMenArcheryRange,basic,1
CONTROLBAR:ConstructGondorArcheryRangeLevel2Upgrade,men,CONTROLBAR:ConstructMenArcheryRange,basic,1
CONTROLBAR:ConstructGondorArcheryRangeLevel3Upgrade,men,CONTROLBAR:ConstructMenArcheryRange,basic,1
CONTROLBAR:ConstructMenStable,men,,basic,0
CONTROLBAR:ConstructGondorKnightHorde,men,CONTROLBAR:ConstructMenStable,basic,1
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,men,CONTROLBAR:ConstructGondorKnightHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorHeavyArmor,men,CONTROLBAR:ConstructGondorKnightHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,men,CONTROLBAR:ConstructGondorKnightHorde,basic,2
CONTROLBAR:ConstructRohanRohirrimHorde,men,CONTROLBAR:ConstructMenStable,basic,1
CONTROLBAR:ToggleRohirrimWeapons,men,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:FireArrowUpgrade,men,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,men,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorHeavyArmor,men,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,men,CONTROLBAR:ConstructRohanRohirrimHorde,basic,2
CONTROLBAR:ConstructGondorStable2Upgrade,men,CONTROLBAR:ConstructMenStable,basic,1
CONTROLBAR:ConstructGondorStableLevel3Upgrade,men,CONTROLBAR:ConstructMenStable,basic,1
CONTROLBAR:ConstructMenWorkshop,men,,basic,0
CONTROLBAR:ConstructGondorTrebuchet,men,CONTROLBAR:ConstructMenWorkshop,basic,1
CONTROLBAR:NoAutoAcquire,men,CONTROLBAR:ConstructGondorTrebuchet,basic,2
CONTROLBAR:AutoAcquire,men,CONTROLBAR:ConstructGondorTrebuchet,basic,2
CONTROLBAR:PurchaseUpgradeGondorFireStones,men,CONTROLBAR:ConstructGondorTrebuchet,basic,2
CONTROLBAR:ToggleTrebWeapon,men,CONTROLBAR:ConstructGondorTrebuchet,basic,2
CONTROLBAR:StopBombard,men,CONTROLBAR:ConstructGondorTrebuchet,basic,2
CONTROLBAR:PurchaseTechnologyGondorFireStones,men,CONTROLBAR:ConstructMenWorkshop,basic,1
CONTROLBAR:ConstructGondorWorkshop2Upgrade,men,CONTROLBAR:ConstructMenWorkshop,basic,1
CONTROLBAR:ConstructGondorWorkshopLevel3Upgrade,men,CONTROLBAR:ConstructMenWorkshop,basic,1
CONTROLBAR:ConstructMenSentryTower,men,,basic,0
CONTROLBAR:GarrisonExit,men,CONTROLBAR:ConstructMenSentryTower,basic,1
CONTROLBAR:EvacuateAll,men,CONTROLBAR:ConstructMenSentryTower,basic,1
CONTROLBAR:PurchaseUpgradeSentryTowerFireArrows,men,CONTROLBAR:ConstructMenSentryTower,basic,1
CONTROLBAR:ConstructMenWell,men,,basic,0
CONTROLBAR:ConstructMenStatue,men,,basic,0
CONTROLBAR:ConstructMenBlacksmith,men,,basic,0
CONTROLBAR:PurchaseTechnologyGondorForgedBlades,men,CONTROLBAR:ConstructMenBlacksmith,basic,1
CONTROLBAR:PurchaseTechnologyGondorHeavyArmor,men,CONTROLBAR:ConstructMenBlacksmith,basic,1
CONTROLBAR:PurchaseTechnologyGondorIronOre,men,CONTROLBAR:ConstructMenBlacksmith,basic,1
CONTROLBAR:ConstructGondorForgeLevel2Upgrade,men,CONTROLBAR:ConstructMenBlacksmith,basic,1
CONTROLBAR:ConstructGondorForgeLevel3Upgrade,men,CONTROLBAR:ConstructMenBlacksmith,basic,1
CONTROLBAR:ConstructMenMarketPlace,men,,basic,0
CONTROLBAR:ConstructSiegeMaterialsUpgrade,men,CONTROLBAR:ConstructMenMarketPlace,basic,1
CONTROLBAR:ConstructIronOreUpgrade,men,CONTROLBAR:ConstructMenMarketPlace,basic,1
CONTROLBAR:ConstructGrandHarvestUpgrade,men,CONTROLBAR:ConstructMenMarketPlace,basic,1
CONTROLBAR:ConstructMenWallHub,men,,basic,0
CONTROLBAR:Command_GondorCastleWallHub_BeginWallSpan,men,CONTROLBAR:ConstructMenWallHub,basic,1
CONTROLBAR:Command_MenWallUpgradeToHub,men,CONTROLBAR:ConstructMenWallHub,basic,1
CONTROLBAR:Command_MenWallUpgradeToRegularGate,men,CONTROLBAR:ConstructMenWallHub,basic,1
CONTROLBAR:ToggleGateOpenClose,men,CONTROLBAR:Command_MenWallUpgradeToRegularGate,basic,2
CONTROLBAR:Command_MenWallUpgradeToPosternGate,men,CONTROLBAR:ConstructMenWallHub,basic,1
CONTROLBAR:Command_MenWallUpgradeToTower,men,CONTROLBAR:ConstructMenWallHub,basic,1
CONTROLBAR:Command_MenWallUpgradeToTrebuchet,men,CONTROLBAR:ConstructMenWallHub,basic,1
CONTROLBAR:ConstructMenFortress,men,,basic,0
CONTROLBAR:ConstructMenPorter,men,CONTROLBAR:ConstructMenFortress,basic,1
CONTROLBAR:SelectRevivablesMenFortress,men,CONTROLBAR:ConstructMenFortress,basic,1
CONTROLBAR:GondorBoromirHotkey,men,CONTROLBAR:SelectRevivablesMenFortress,basic,2
CONTROLBAR:HornofGondor,men,CONTROLBAR:GondorBoromirHotkey,basic,3
CONTROLBAR:CaptainofGondorBoromir,men,CONTROLBAR:GondorBoromirHotkey,basic,3
CONTROLBAR:RohanTheodenHotkey,men,CONTROLBAR:SelectRevivablesMenFortress,basic,2
CONTROLBAR:TheodenMount,men,CONTROLBAR:RohanTheodenHotkey,basic,3
CONTROLBAR:KingsFavor,men,CONTROLBAR:RohanTheodenHotkey,basic,3
CONTROLBAR:GloriousCharge,men,CONTROLBAR:RohanTheodenHotkey,basic,3
CONTROLBAR:RohanEowynHotkey,men,CONTROLBAR:SelectRevivablesMenFortress,basic,2
CONTROLBAR:TheodenMount,men,CONTROLBAR:RohanEowynHotkey,basic,3
CONTROLBAR:Smite,men,CONTROLBAR:RohanEowynHotkey,basic,3
CONTROLBAR:Disguise,men,CONTROLBAR:RohanEowynHotkey,basic,3
CONTROLBAR:ShieldMaiden,men,CONTROLBAR:RohanEowynHotkey,basic,3
CONTROLBAR:GondorFaramirHotkey,men,CONTROLBAR:SelectRevivablesMenFortress,basic,2
CONTROLBAR:ToggleFaramirWeapons,men,CONTROLBAR:GondorFaramirHotkey,basic,3
CONTROLBAR:WoundingArrow,men,CONTROLBAR:GondorFaramirHotkey,basic,3
CONTROLBAR:FaramirKnightRanger,men,CONTROLBAR:GondorFaramirHotkey,basic,3
CONTROLBAR:CaptainofGondor,men,CONTROLBAR:GondorFaramirHotkey,basic,3
CONTROLBAR:RohanEomerHotkey,men,CONTROLBAR:SelectRevivablesMenFortress,basic,2
CONTROLBAR:TheodenMount,men,CONTROLBAR:RohanEomerHotkey,basic,3
CONTROLBAR:ThrowSpear,men,CONTROLBAR:RohanEomerHotkey,basic,3
CONTROLBAR:GondorAragornHotkey,men,CONTROLBAR:SelectRevivablesMenFortress,basic,2
CONTROLBAR:Athelas,men,CONTROLBAR:GondorAragornHotkey,basic,3
CONTROLBAR:BladeMaster,men,CONTROLBAR:GondorAragornHotkey,basic,3
CONTROLBAR:Elendil,men,CONTROLBAR:GondorAragornHotkey,basic,3
CONTROLBAR:Oathbreakers,men,CONTROLBAR:GondorAragornHotkey,basic,3
CONTROLBAR:GandalfTheWhiteHotkey,men,CONTROLBAR:SelectRevivablesMenFortress,basic,2
CONTROLBAR:WizardBlast,men,CONTROLBAR:GandalfTheWhiteHotkey,basic,3
CONTROLBAR:LightningSword,men,CONTROLBAR:GandalfTheWhiteHotkey,basic,3
CONTROLBAR:Shadowfax,men,CONTROLBAR:GandalfTheWhiteHotkey,basic,3
CONTROLBAR:IstariLight,men,CONTROLBAR:GandalfTheWhiteHotkey,basic,3
CONTROLBAR:WordofPower,men,CONTROLBAR:GandalfTheWhiteHotkey,basic,3
CONTROLBAR:SelectUpgradesMenFortress,men,CONTROLBAR:ConstructMenFortress,basic,1
CONTROLBAR:PurchaseUpgradeMenFortressBanners,men,CONTROLBAR:SelectUpgradesMenFortress,basic,2
CONTROLBAR:PurchaseUpgradeMenFortressHouseOfHealing,men,CONTROLBAR:SelectUpgradesMenFortress,basic,2
CONTROLBAR:PurchaseUpgradeMenFortressIvoryTower,men,CONTROLBAR:SelectUpgradesMenFortress,basic,2
CONTROLBAR:PurchaseUpgradeMenFortressBoilingOil,men,CONTROLBAR:SelectUpgradesMenFortress,basic,2
CONTROLBAR:PurchaseUpgradeMenFortressNumenorStonework,men,CONTROLBAR:SelectUpgradesMenFortress,basic,2
CONTROLBAR:PurchaseUpgradeMenFortressFlamingMunitions,men,CONTROLBAR:SelectUpgradesMenFortress,basic,2
CONTROLBAR:FireWeaponMenFortressBoilingOil,men,CONTROLBAR:ConstructMenFortress,basic,1
CONTROLBAR:IvoryTowerVision,men,CONTROLBAR:ConstructMenFortress,basic,1
OBJECT:MenBuildingFoundation,men,CONTROLBAR:ConstructMenFortress,basic,1
CONTROLBAR:Command_ConstructMenWallHubExpansion,men,OBJECT:MenBuildingFoundation,basic,2
CONTROLBAR:ConstructMenDormitory,men,OBJECT:MenBuildingFoundation,basic,2
CONTROLBAR:GarrisonExit,men,CONTROLBAR:ConstructMenDormitory,basic,3
CONTROLBAR:EvacuateAll,men,CONTROLBAR:ConstructMenDormitory,basic,3
CONTROLBAR:ConstructMenArrowTowerExpansion,men,OBJECT:MenBuildingFoundation,basic,2
CONTROLBAR:ConstructMenTrebuchetExpansion,men,OBJECT:MenBuildingFoundation,basic,2
OBJECT:InnTavern,men,,inn,0
CONTROLBAR:ConstructSindarWarriorHorde,men,OBJECT:InnTavern,inn,1
CONTROLBAR:ToggleElvenWarriorWeapons,men,CONTROLBAR:ConstructSindarWarriorHorde,inn,2
CONTROLBAR:FireArrowUpgrade,men,CONTROLBAR:ConstructSindarWarriorHorde,inn,2
CONTROLBAR:PurchaseUpgradeGondorForgedBlades,men,CONTROLBAR:ConstructSindarWarriorHorde,inn,2
CONTROLBAR:PurchaseUpgradeGondorHeavyArmor,men,CONTROLBAR:ConstructSindarWarriorHorde,inn,2
CONTROLBAR:PurchaseUpgradeGondorBasicTraining,men,CONTROLBAR:ConstructSindarWarriorHorde,inn,2
CONTROLBAR:GoodPlayerExperienceMenu,men,,power,0
CONTROLBAR:SummonHobbitAllies,men,CONTROLBAR:GoodPlayerExperienceMenu,power,1
OBJECT:HordeHobbits,men,CONTROLBAR:SummonHobbitAllies,power,2
CONTROLBAR:tooltipCommand_ToggleEntRockThrow,men,OBJECT:HordeHobbits,power,3
CONTROLBAR:UseSword,men,OBJECT:HordeHobbits,power,3
OBJECT:RohanFrodo,men,CONTROLBAR:SummonHobbitAllies,power,2
CONTROLBAR:tooltipCommand_ToggleEntRockThrow,men,OBJECT:RohanFrodo,power,3
CONTROLBAR:UseSword,men,OBJECT:RohanFrodo,power,3
CONTROLBAR:PhialofGaladriel,men,OBJECT:RohanFrodo,power,3
OBJECT:RohanSam,men,CONTROLBAR:SummonHobbitAllies,power,2
CONTROLBAR:tooltipCommand_ToggleEntRockThrow,men,OBJECT:RohanSam,power,3
CONTROLBAR:UseSword,men,OBJECT:RohanSam,power,3
CONTROLBAR:ElvenCloak,men,OBJECT:RohanSam,power,3
OBJECT:RohanMerry,men,CONTROLBAR:SummonHobbitAllies,power,2
CONTROLBAR:tooltipCommand_ToggleEntRockThrow,men,OBJECT:RohanMerry,power,3
CONTROLBAR:UseSword,men,OBJECT:RohanMerry,power,3
CONTROLBAR:ElvenCloak,men,OBJECT:RohanMerry,power,3
OBJECT:RohanPippin,men,CONTROLBAR:SummonHobbitAllies,power,2
CONTROLBAR:tooltipCommand_ToggleEntRockThrow,men,OBJECT:RohanPippin,power,3
CONTROLBAR:UseSword,men,OBJECT:RohanPippin,power,3
CONTROLBAR:ElvenCloak,men,OBJECT:RohanPippin,power,3
OBJECT:TomBombadil,men,CONTROLBAR:GoodPlayerExperienceMenu,power,1
CONTROLBAR:SonicSong,men,OBJECT:TomBombadil,power,2
CONTROLBAR:ConstructElvenMallornTree,elves,,basic,0
CONTROLBAR:ConstructElvenBarracks,elves,,basic,0
CONTROLBAR:ConstructElvenLorienWarriorHorde,elves,CONTROLBAR:ConstructElvenBarracks,basic,1
CONTROLBAR:PurchaseUpgradeElvenForgedBlades,elves,CONTROLBAR:ConstructElvenLorienWarriorHorde,basic,2
CONTROLBAR:PurchaseUpgradeElvenHeavyArmor,elves,CONTROLBAR:ConstructElvenLorienWarriorHorde,basic,2
CONTROLBAR:PurchaseUpgradeElderRacesBasicTraining,elves,CONTROLBAR:ConstructElvenLorienWarriorHorde,basic,2
CONTROLBAR:ConstructElvenLorienArcherHorde,elves,CONTROLBAR:ConstructElvenBarracks,basic,1
CONTROLBAR:PurchaseUpgradeElvenSilverthornArrows,elves,CONTROLBAR:ConstructElvenLorienArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeElvenHeavyArmor,elves,CONTROLBAR:ConstructElvenLorienArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeElderRacesBasicTraining,elves,CONTROLBAR:ConstructElvenLorienArcherHorde,basic,2
CONTROLBAR:ArcherBarrage,elves,CONTROLBAR:ConstructElvenLorienArcherHorde,basic,2
CONTROLBAR:ConstructElvenMithlondSentryHorde,elves,CONTROLBAR:ConstructElvenBarracks,basic,1
CONTROLBAR:PurchaseUpgradeElvenForgedBlades,elves,CONTROLBAR:ConstructElvenMithlondSentryHorde,basic,2
CONTROLBAR:PurchaseUpgradeElvenHeavyArmor,elves,CONTROLBAR:ConstructElvenMithlondSentryHorde,basic,2
CONTROLBAR:PurchaseUpgradeElderRacesBasicTraining,elves,CONTROLBAR:ConstructElvenMithlondSentryHorde,basic,2
CONTROLBAR:TogglePorcupineFormation,elves,CONTROLBAR:ConstructElvenMithlondSentryHorde,basic,2
CONTROLBAR:ToggleLineFormation,elves,CONTROLBAR:ConstructElvenMithlondSentryHorde,basic,2
CONTROLBAR:ConstructElvenMirkwoodArcherHorde,elves,CONTROLBAR:ConstructElvenBarracks,basic,1
CONTROLBAR:ArcherBarrage,elves,CONTROLBAR:ConstructElvenMirkwoodArcherHorde,basic,2
CONTROLBAR:ElvenCloak,elves,CONTROLBAR:ConstructElvenMirkwoodArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeElvenSilverthornArrows,elves,CONTROLBAR:ConstructElvenMirkwoodArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeElderRacesBasicTraining,elves,CONTROLBAR:ConstructElvenMirkwoodArcherHorde,basic,2
CONTROLBAR:PurchaseUpgradeElvenBarracksLevel2,elves,CONTROLBAR:ConstructElvenBarracks,basic,1
CONTROLBAR:PurchaseUpgradeElvenBarracksLevel3,elves,CONTROLBAR:ConstructElvenBarracks,basic,1
CONTROLBAR:ConstructElvenStable,elves,,basic,0
CONTROLBAR:BuildElvenRivendellLancers,elves,CONTROLBAR:ConstructElvenStable,basic,1
CONTROLBAR:PurchaseUpgradeElvenForgedBlades,elves,CONTROLBAR:BuildElvenRivendellLancers,basic,2
CONTROLBAR:PurchaseUpgradeElvenHeavyArmor,elves,CONTROLBAR:BuildElvenRivendellLancers,basic,2
CONTROLBAR:PurchaseUpgradeElderRacesBasicTraining,elves,CONTROLBAR:BuildElvenRivendellLancers,basic,2
CONTROLBAR:ConstructElvenGreenPastureLevel2Upgrade,elves,CONTROLBAR:ConstructElvenStable,basic,1
CONTROLBAR:ConstructElvenGreenPastureLevel3Upgrade,elves,CONTROLBAR:ConstructElvenStable,basic,1
CONTROLBAR:ConstructEntMoot,elves,,basic,0
CONTROLBAR:ConstructEnt,elves,CONTROLBAR:ConstructEntMoot,basic,1
CONTROLBAR:KickAndPunch,elves,CONTROLBAR:ConstructEnt,basic,2
CONTROLBAR:ThrowRocks,elves,CONTROLBAR:ConstructEnt,basic,2
CONTROLBAR:ConstructTreebeard,elves,CONTROLBAR:ConstructEntMoot,basic,1
CONTROLBAR:KickAndPunch,elves,CONTROLBAR:ConstructTreebeard,basic,2
CONTROLBAR:ThrowRocks,elves,CONTROLBAR:ConstructTreebeard,basic,2
CONTROLBAR:ToggleTrebWeapon,elves,CONTROLBAR:ConstructTreebeard,basic,2
CONTROLBAR:StopBombard,elves,CONTROLBAR:ConstructTreebeard,basic,2
CONTROLBAR:ConstructElvenBattleTower,elves,,basic,0
CONTROLBAR:GarrisonExit,elves,CONTROLBAR:ConstructElvenBattleTower,basic,1
CONTROLBAR:PurchaseUpgradeElvenSilverthornArrows,elves,CONTROLBAR:ConstructElvenBattleTower,basic,1
CONTROLBAR:ConstructGaladrielsWell,elves,,basic,0
CONTROLBAR:ConstructElvenStatue,elves,,basic,0
CONTROLBAR:ConstructEregionForge,elves,,basic,0
CONTROLBAR:PurchaseTechnologyElvenBasicTraining,elves,CONTROLBAR:ConstructEregionForge,basic,1
CONTROLBAR:PurchaseTechnologyElvenHeavyArmor,elves,CONTROLBAR:ConstructEregionForge,basic,1
CONTROLBAR:PurchaseTechnologyElvenForgedBlades,elves,CONTROLBAR:ConstructEregionForge,basic,1
CONTROLBAR:PurchaseTechnologyElvenSilverthornArrows,elves,CONTROLBAR:ConstructEregionForge,basic,1
CONTROLBAR:PurchaseUpgradeEregionForgeLevel2,elves,CONTROLBAR:ConstructEregionForge,basic,1
CONTROLBAR:PurchaseUpgradeEregionForgeLevel3,elves,CONTROLBAR:ConstructEregionForge,basic,1
CONTROLBAR:ConstructElvenWallHub,elves,,basic,0
CONTROLBAR:Command_ElvenCastleWallHub_BeginWallSpan,elves,CONTROLBAR:ConstructElvenWallHub,basic,1
CONTROLBAR:Command_ElvenWallUpgradeToHub,elves,CONTROLBAR:ConstructElvenWallHub,basic,1
CONTROLBAR:Command_ElvenWallUpgradeToRegularGate,elves,CONTROLBAR:ConstructElvenWallHub,basic,1
CONTROLBAR:ToggleGateOpenClose,elves,CONTROLBAR:Command_ElvenWallUpgradeToRegularGate,basic,2
CONTROLBAR:ConstructElvenFortress,elves,,basic,0
CONTROLBAR:ConstructElvenPorter,elves,CONTROLBAR:ConstructElvenFortress,basic,1
CONTROLBAR:SelectRevivablesElvenFortress,elves,CONTROLBAR:ConstructElvenFortress,basic,1
CONTROLBAR:ElvenArwenHotkey,elves,CONTROLBAR:SelectRevivablesElvenFortress,basic,2
CONTROLBAR:TheodenMount,elves,CONTROLBAR:ElvenArwenHotkey,basic,3
CONTROLBAR:PersonalFlood,elves,CONTROLBAR:ElvenArwenHotkey,basic,3
CONTROLBAR:ElvenGrace,elves,CONTROLBAR:ElvenArwenHotkey,basic,3
CONTROLBAR:ElvenHaldirHotkey,elves,CONTROLBAR:SelectRevivablesElvenFortress,basic,2
CONTROLBAR:ToggleElvenWarriorWeapons,elves,CONTROLBAR:ElvenHaldirHotkey,basic,3
CONTROLBAR:HaldirGoldenArrow,elves,CONTROLBAR:ElvenHaldirHotkey,basic,3
CONTROLBAR:ElvenGlorfindelHotkey,elves,CONTROLBAR:SelectRevivablesElvenFortress,basic,2
CONTROLBAR:TheodenMount,elves,CONTROLBAR:ElvenGlorfindelHotkey,basic,3
CONTROLBAR:GlorfindelBladeOfPurity,elves,CONTROLBAR:ElvenGlorfindelHotkey,basic,3
CONTROLBAR:GlorfindelWindRider,elves,CONTROLBAR:ElvenGlorfindelHotkey,basic,3
CONTROLBAR:GlorfindelStarlight,elves,CONTROLBAR:ElvenGlorfindelHotkey,basic,3
CONTROLBAR:RohanLegolasHotkey,elves,CONTROLBAR:SelectRevivablesElvenFortress,basic,2
CONTROLBAR:HawkStrike,elves,CONTROLBAR:RohanLegolasHotkey,basic,3
CONTROLBAR:TrainArchers,elves,CONTROLBAR:RohanLegolasHotkey,basic,3
CONTROLBAR:KnifeFighter,elves,CONTROLBAR:RohanLegolasHotkey,basic,3
CONTROLBAR:ArrowWind,elves,CONTROLBAR:RohanLegolasHotkey,basic,3
CONTROLBAR:ElvenThranduilHotkey,elves,CONTROLBAR:SelectRevivablesElvenFortress,basic,2
CONTROLBAR:DeadEye,elves,CONTROLBAR:ElvenThranduilHotkey,basic,3
CONTROLBAR:WildWalk,elves,CONTROLBAR:ElvenThranduilHotkey,basic,3
CONTROLBAR:MoveUnseen,elves,CONTROLBAR:ElvenThranduilHotkey,basic,3
CONTROLBAR:ThornofVengeance,elves,CONTROLBAR:ElvenThranduilHotkey,basic,3
CONTROLBAR:ElvenElrondHotkey,elves,CONTROLBAR:SelectRevivablesElvenFortress,basic,2
CONTROLBAR:ElrondFarsight,elves,CONTROLBAR:ElvenElrondHotkey,basic,3
CONTROLBAR:ElvenGrace,elves,CONTROLBAR:ElvenElrondHotkey,basic,3
CONTROLBAR:ElrondRestoration,elves,CONTROLBAR:ElvenElrondHotkey,basic,3
CONTROLBAR:ElrondWhirlwind,elves,CONTROLBAR:ElvenElrondHotkey,basic,3
CONTROLBAR:SelectUpgradesElvenFortress,elves,CONTROLBAR:ConstructElvenFortress,basic,1
CONTROLBAR:PurchaseUpgradeElvenFortressEnchantedAnvil,elves,CONTROLBAR:SelectUpgradesElvenFortress,basic,2
CONTROLBAR:PurchaseUpgradeElvenFortressMysticFountains,elves,CONTROLBAR:SelectUpgradesElvenFortress,basic,2
CONTROLBAR:PurchaseUpgradeElvenFortressBlessedMist,elves,CONTROLBAR:SelectUpgradesElvenFortress,basic,2
CONTROLBAR:PurchaseUpgradeElvenFortressCrystalMoat,elves,CONTROLBAR:SelectUpgradesElvenFortress,basic,2
CONTROLBAR:PurchaseUpgradeElvenFortressEncasingVines,elves,CONTROLBAR:SelectUpgradesElvenFortress,basic,2
CONTROLBAR:PurchaseUpgradeElvenFortressEaglesNest,elves,CONTROLBAR:SelectUpgradesElvenFortress,basic,2
CONTROLBAR:PurchaseElvenEagle,elves,CONTROLBAR:ConstructElvenFortress,basic,1
OBJECT:ElvenBuildingFoundation,elves,CONTROLBAR:ConstructElvenFortress,basic,1
CONTROLBAR:Command_ConstructElvenWallHubExpansionCastle,elves,OBJECT:ElvenBuildingFoundation,basic,2
CONTROLBAR:ConstructElvenWatchtowerExpansion,elves,OBJECT:ElvenBuildingFoundation,basic,2
CONTROLBAR:ConstructElvenVigilantEntExpansion,elves,OBJECT:ElvenBuildingFoundation,basic,2
CONTROLBAR:ConstructElvenFloodgateExpansion,elves,OBJECT:ElvenBuildingFoundation,basic,2
OBJECT:InnTavern,elves,,inn,0
CONTROLBAR:ConstructRohanPeasant,elves,OBJECT:InnTavern,inn,1
CONTROLBAR:GoodPlayerExperienceMenu,elves,,power,0
OBJECT:TomBombadil,elves,CONTROLBAR:GoodPlayerExperienceMenu,power,1
CONTROLBAR:SonicSong,elves,OBJECT:TomBombadil,power,2
CONTROLBAR:ConstructDwarvenMineShaft,dwarves,,basic,0
CONTROLBAR:GarrisonExit,dwarves,CONTROLBAR:ConstructDwarvenMineShaft,basic,1
CONTROLBAR:EvacuateAll,dwarves,CONTROLBAR:ConstructDwarvenMineShaft,basic,1
CONTROLBAR:ConstructDwarvenBarracks,dwarves,,basic,0
CONTROLBAR:ConstructDwarvenGuardianHorde,dwarves,CONTROLBAR:ConstructDwarvenBarracks,basic,1
CONTROLBAR:DwarvenGuardianChargeAttack,dwarves,CONTROLBAR:ConstructDwarvenGuardianHorde,basic,2
CONTROLBAR:PurchaseUpgradeDwarvenMithrilMail,dwarves,CONTROLBAR:ConstructDwarvenGuardianHorde,basic,2
CONTROLBAR:PurchaseUpgradeDwarvenForgedBlades,dwarves,CONTROLBAR:ConstructDwarvenGuardianHorde,basic,2
CONTROLBAR:PurchaseUpgradeDwarvenBasicTraining,dwarves,CONTROLBAR:ConstructDwarvenGuardianHorde,basic,2
CONTROLBAR:PurchaseUpgradeDwarvenSiegeHammer,dwarves,CONTROLBAR:ConstructDwarvenGuardianHorde,basic,2
CONTROLBAR:ConstructDwarvenPhalanxHorde,dwarves,CONTROLBAR:ConstructDwarvenBarracks,basic,1
CONTROLBAR:TogglePorcupineFormation,dwarves,CONTROLBAR:ConstructDwarvenPhalanxHorde,basic,2
CONTROLBAR:ToggleLineFormation,dwarves,CONTROLBAR:ConstructDwarvenPhalanxHorde,basic,2
CONTROLBAR:PurchaseUpgradeDwarvenMithrilMail,dwarves,CONTROLBAR:ConstructDwarvenPhalanxHorde,basic,2
CONTROLBAR:PurchaseUpgradeDwarvenForgedBlades,dwarves,CONTROLBAR:ConstructDwarvenPhalanxHorde,basic,2
CONTROLBAR:PurchaseUpgradeDwarvenBasicTraining,dwarves,CONTROLBAR:ConstructDwarvenPhalanxHorde,basic,2
